name,RA,Dec,Grade,n_img,Separation,SLED_xmatch,Sav,pNetwork,isKnownLenses
J1406-0112,211.593494,-1.20856,Lower-score candidates,2,1.1478,"CANDIDATE: SDSSJ140622.44-011230.7, Inada, Naohisa et al. (2008), SDSSJ140622.44-011230.7, Spiniello, C. et al. (2018)",1.67,0.9849,
J0327-2918,51.989835,-29.306167,Lower-score candidates,2,1.4803,,1.67,0.982,
J0329-3258,52.30542,-32.97114,Median-score candidate,2,1.3005,,2,0.9765,
J0329-3410,52.337522,-34.177902,Lower-score candidates,2,2.3653,,1.67,0.9661,
J0333-2803,53.352284,-28.058703,Lower-score candidates,2,1.0764,,1.67,1,
J0837+0035,129.448405,0.591225,Lower-score candidates,2,1.317,,1.67,0.9723,
J0839-0056,129.944764,-0.937273,Lower-score candidates,2,,"CONTAMINANT: J0839-0056, Lemon, C. et al. (2023)",1.67,0.9989,
J0847-0003,131.763359,-0.065975,Lower-score candidates,2,1.2889,,1.67,0.9984,
J1226-0006,186.533437,-0.100639,Median-score candidate,2,1.1533,"CONFIRMED: SDSSJ1226-0006, Inada, Naohisa et al. (2008), SDSSJ1226-0006, He, Zizhao et al. (2023)",2.25,1,Lensed QSO
J0848+0129,132.106509,1.483768,Median-score candidate,2,1.8276,,2,0.9993,
J0858+0216,134.745647,2.273061,Median-score candidate,2,1.8783,,2,0.9882,
J0900-0038,135.15956,-0.64524,Lower-score candidates,2,1.3777,,2.33,0.9999,
J0148-3110,27.014819,-31.177696,Lower-score candidates,2,1.1959,,2.33,0.9593,
J0910-0133,137.54887,-1.553505,Lower-score candidates,2,2.2649,,1.67,1,
J0315-3522,48.909979,-35.382636,Lower-score candidates,2,1.2641,"CONTAMINANT: J0315-3522, Dawes, C. et al. (2023), J0315-3522, Lemon, C. et al. (2023)",1.67,0.9769,
J0916+0232,139.192377,2.543317,Lower-score candidates,2,1.4826,,1.67,0.9783,
J0919-0151,139.95338,-1.862643,Lower-score candidates,2,,,1.67,0.9482,
J0921+0104,140.468652,1.07927,Lower-score candidates,2,1.5344,,1.67,0.9489,
J0921+0247,140.468881,2.796993,Median-score candidate,2,1.8273,,2,0.9991,
J0923-0110,140.823223,-1.173463,Median-score candidate,2,1.5637,,2,0.9579,
