name,RA,Dec,pmra,pmdec,pmra_error,pmdec_error,pm_sig,plx,plx_error,plx_sig,u,g,r,i,photo-z,specz,specz_cite
J0241-3101,40.291056,-31.028932,3.623,-6.953,0.171,0.19,30.6718458,-0.0173,0.1931,0.089590886,21.254225,20.492914,19.962856,19.80026,0.2,,
J0241-3101,40.291589,-31.028987,3.623,-6.953,0.171,0.19,30.6718458,-0.0173,0.1931,0.089590886,20.010345,19.039253,18.750484,18.668842,0.03,,
J0242-3054,40.696715,-30.913117,26.981,7.144,0.308,0.347,60.15573543,1.1698,0.3175,3.684409449,22.235516,19.597672,18.151405,17.140303,0.47,,
J0247-2950,41.878252,-29.843824,0.352,-5.843,0.534,0.616,7.180231489,0.3931,0.5043,0.779496332,23.44963,21.003323,19.588764,18.648737,0.51,,
J0247-2950,41.878449,-29.844083,0.352,-5.843,0.534,0.616,7.180231489,0.3931,0.5043,0.779496332,23.18117,20.590895,19.294064,18.44745,0.27,,
J0252-3249,43.241358,-32.819592,0.051,-0.057,0.064,0.093,0.677497993,-0.0188,0.0991,0.189707366,20.66122,19.855162,19.590563,19.422806,0.04,,
J0252-3249,43.241119,-32.819042,0.051,-0.057,0.064,0.093,0.677497993,-0.0188,0.0991,0.189707366,18.609777,18.317066,18.051899,17.996563,0.4,,
J0255-2822,43.957334,-28.383104,2.678,-3.424,1.341,1.658,2.038471094,2.5036,1.7302,1.447000347,22.01022,20.180546,19.025263,18.67836,0.27,,
J0257-2700,44.46478,-27.010931,,,,,,,,,23.200499,20.93602,19.597689,19.12404,0.26,,
J0257-2700,44.465224,-27.011312,,,,,,,,,23.546515,21.24873,19.998016,19.504827,0.15,,
J0257-3501,44.290504,-35.023704,0.83,-1.462,0.889,0.96,1.284903908,0.7244,0.9022,0.80292618,19.934715,19.017057,18.464579,18.148869,0.21,,
J0257-3501,44.29047,-35.023305,0.83,-1.462,0.889,0.96,1.284903908,0.7244,0.9022,0.80292618,19.25044,18.214504,17.78935,17.635767,0.13,,
J0310-3525,47.562056,-35.417743,-3.421,-0.587,1.076,1.062,2.2958951,-0.6681,1.0291,0.649208046,21.02494,20.007473,19.446886,19.11394,0.18,,
J0310-3525,47.561562,-35.417676,-3.421,-0.587,1.076,1.062,2.2958951,-0.6681,1.0291,0.649208046,21.219124,20.02374,19.257147,18.915672,0.21,,
J0313-3343,48.39203,-33.727459,-0.064,0.122,0.19,0.235,0.455882859,-0.1212,0.2519,0.481143311,20.888203,19.540745,18.85368,18.595797,0.18,,
J0313-3343,48.39222,-33.727918,-0.064,0.122,0.19,0.235,0.455882859,-0.1212,0.2519,0.481143311,20.874977,19.327942,18.479885,18.142529,0.19,,
J0315-3522,48.909625,-35.382836,0.07,-0.204,0.068,0.117,1.593754534,0.1514,0.0887,1.706877114,18.54146,18.697382,18.57139,18.505808,0.64,0.457,LEMON4
J0315-3522,48.909979,-35.382636,0.07,-0.204,0.068,0.117,1.593754534,0.1514,0.0887,1.706877114,17.837263,17.74059,17.894161,17.884851,0.07,0.457,LEMON4
J0317-3113,49.355876,-31.226523,,,,,,,,,20.016884,19.114769,18.624846,18.37096,0.13,,
J0317-3113,49.356306,-31.226566,,,,,,,,,19.783325,18.739752,18.24406,18.00953,0.1,,
J0326-3122,51.528663,-31.381697,-0.013,0.197,0.199,0.313,0.532289509,-0.2473,0.2638,0.937452616,20.635387,20.158192,19.979515,19.88428,0.17,1.34,VAQL
J0326-3122,51.52828,-31.381518,-0.013,0.197,0.199,0.313,0.532289509,-0.2473,0.2638,0.937452616,19.928116,19.661646,19.397226,19.122862,0.25,,
J0327-2918,51.99028,-29.306031,3.21,2.012,0.794,1.233,2.583256096,1.016,0.9167,1.108323334,23.370203,21.565437,20.244822,19.706213,0.21,,
J0327-2918,51.989835,-29.306167,3.21,2.012,0.794,1.233,2.583256096,1.016,0.9167,1.108323334,22.929352,21.47701,20.020905,19.469486,0.48,,
J0329-3258,52.305845,-32.971198,7.6,-0.333,0.506,0.774,8.226565813,0.0866,0.7287,0.118841773,24.079002,21.627403,20.262182,19.659367,0.24,,
J0329-3258,52.30542,-32.97114,7.6,-0.333,0.506,0.774,8.226565813,0.0866,0.7287,0.118841773,23.630999,21.549816,20.065187,19.523703,0.43,,
J0329-3410,52.337522,-34.177902,,,,,,,,,21.708303,20.773699,20.047762,19.72549,0.26,,
J0329-3410,52.337528,-34.178559,,,,,,,,,20.655325,20.007038,19.421783,19.169708,0.75,,
J0333-2803,53.352284,-28.058703,11.76,-0.045,0.348,0.646,16.02691411,1.4112,0.4878,2.89298893,24.022383,21.3054,19.888592,19.018496,0.3,,
J0333-2803,53.352612,-28.058778,11.76,-0.045,0.348,0.646,16.02691411,1.4112,0.4878,2.89298893,23.594133,21.042067,19.635406,18.784567,0.29,,
J0837+0035,129.448102,0.59143,,,,,,,,,21.401134,20.34229,19.925276,19.694012,0.05,,
J0837+0035,129.448405,0.591225,,,,,,,,,21.263947,20.149689,19.666695,19.35335,0.09,,
J0839-0056,129.944668,-0.937346,-1.34,0.234,0.222,0.172,4.843699952,0.2333,0.2222,1.049954995,19.496153,18.48472,18.170141,17.952133,0.08,,
